"trial","ref_position","var_area","response","correct","rt"
1,"L",13.751756634796,"R",TRUE,1.59000015258789
2,"L",8.04682665527798,"L",TRUE,0.976999998092651
3,"R",10.3657412766479,"L",TRUE,0.584000110626221
4,"R",14.3089096003678,"R",FALSE,0.689000129699707
5,"L",10.791294508148,"L",FALSE,0.983000040054321
6,"R",9.08777706231922,"L",TRUE,0.888000011444092
7,"R",11.5375546747819,"L",TRUE,0.778999805450439
8,"R",8.26920835138299,"R",TRUE,0.588000059127808
9,"L",14.929056083085,"R",TRUE,0.671000003814697
10,"R",10.0984850926325,"L",TRUE,1.69099998474121
11,"R",10.6497317261528,"R",FALSE,1.08500003814697
12,"R",9.49965938855894,"R",FALSE,0.677999973297119
13,"L",11.7304411695804,"R",TRUE,0.687000036239624
14,"L",11.7486490970477,"L",FALSE,0.694000005722046
15,"R",9.32449382613413,"L",TRUE,0.994000196456909
16,"R",11.0124427948613,"R",FALSE,0.884000062942505
17,"L",11.9846894079819,"R",TRUE,0.683000087738037
18,"L",11.4872430865653,"L",FALSE,0.684999942779541
19,"L",10.6619455609471,"R",TRUE,1.08700013160706
